Id,MSSubClass,A,LotFrontage,LotArea,Grvl,Grvl,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Flat,ClyTile,Exterior1st,Exterior2nd,BrkCmn,MasVnrArea,ExterQual,ExterCond,BrkTil,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Floor,HeatingQC,CentralAir,SBrkr,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,None,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TenC
1,60,0,65,8450,0,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,0,0,VinylSd,VinylSd,0,196,Gd,TA,0,Gd,TA,No,GLQ,706,Unf,0,150,856,0,Ex,Y,1,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,NA,NA,0,0,2,2008,WD,Normal,208500,0
2,20,0,80,9600,0,0,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,0,0,MetalSd,MetalSd,0,0,TA,TA,0,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,0,Ex,Y,1,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,NA,NA,0,0,5,2007,WD,Normal,181500,0
3,60,0,68,11250,0,0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,0,0,VinylSd,VinylSd,0,162,Gd,TA,0,Gd,TA,Mn,GLQ,486,Unf,0,434,920,0,Ex,Y,1,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,NA,NA,0,0,9,2008,WD,Normal,223500,0
4,70,0,60,9550,0,0,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,0,0,Wd Sdng,Wd Shng,0,0,TA,TA,1,TA,Gd,No,ALQ,216,Unf,0,540,756,0,Gd,Y,1,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,NA,NA,0,0,2,2006,WD,Abnorml,140000,0
5,60,0,84,14260,0,0,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,0,0,VinylSd,VinylSd,0,350,Gd,TA,0,Gd,TA,Av,GLQ,655,Unf,0,490,1145,0,Ex,Y,1,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,NA,NA,0,0,12,2008,WD,Normal,250000,0
6,50,0,85,14115,0,0,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,0,0,VinylSd,VinylSd,0,0,TA,TA,0,Gd,TA,No,GLQ,732,Unf,0,64,796,0,Ex,Y,1,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,0,700,10,2009,WD,Normal,143000,0
7,20,0,75,10084,0,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,0,0,VinylSd,VinylSd,0,186,Gd,TA,0,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,0,Ex,Y,1,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,NA,NA,0,0,8,2007,WD,Normal,307000,0
8,60,0,NA,10382,0,0,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,0,0,HdBoard,HdBoard,0,240,TA,TA,0,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,0,Ex,Y,1,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,NA,NA,0,350,11,2009,WD,Normal,200000,0
9,50,0,51,6120,0,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,0,0,BrkFace,Wd Shng,0,0,TA,TA,1,TA,TA,No,Unf,0,Unf,0,952,952,0,Gd,Y,0,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,NA,NA,0,0,4,2008,WD,Abnorml,129900,0
10,190,0,50,7420,0,0,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,0,0,MetalSd,MetalSd,0,0,TA,TA,1,TA,TA,No,GLQ,851,Unf,0,140,991,0,Ex,Y,1,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,NA,NA,0,0,1,2008,WD,Normal,118000,0
11,20,0,70,11200,0,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,0,0,HdBoard,HdBoard,0,0,TA,TA,0,TA,TA,No,Rec,906,Unf,0,134,1040,0,Ex,Y,1,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,0,2,2008,WD,Normal,129500,0
12,60,0,85,11924,0,0,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,0,0,WdShing,Wd Shng,0,286,Ex,TA,0,Ex,TA,No,GLQ,998,Unf,0,177,1175,0,Ex,Y,1,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,NA,NA,0,0,7,2006,New,Partial,345000,0
13,20,0,NA,12968,0,0,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,0,0,HdBoard,Plywood,0,0,TA,TA,0,TA,TA,No,ALQ,737,Unf,0,175,912,0,TA,Y,1,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,NA,NA,0,0,9,2008,WD,Normal,144000,0
14,20,0,91,10652,0,0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,0,0,VinylSd,VinylSd,0,306,Gd,TA,0,Gd,TA,Av,Unf,0,Unf,0,1494,1494,0,Ex,Y,1,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,NA,NA,0,0,8,2007,New,Partial,279500,0
15,20,0,NA,10920,0,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,0,0,MetalSd,MetalSd,0,212,TA,TA,0,TA,TA,No,BLQ,733,Unf,0,520,1253,0,TA,Y,1,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,NA,GdWo,0,0,5,2008,WD,Normal,157000,0
16,45,0,51,6120,0,0,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,0,0,Wd Sdng,Wd Sdng,0,0,TA,TA,1,TA,TA,No,Unf,0,Unf,0,832,832,0,Ex,Y,0,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,NA,GdPrv,0,0,7,2007,WD,Normal,132000,0
17,20,0,NA,11241,0,0,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,0,0,Wd Sdng,Wd Sdng,0,180,TA,TA,0,TA,TA,No,ALQ,578,Unf,0,426,1004,0,Ex,Y,1,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,700,3,2010,WD,Normal,149000,0
18,90,0,72,10791,0,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,0,0,MetalSd,MetalSd,0,0,TA,TA,0,NA,NA,NA,NA,0,NA,0,0,0,0,TA,Y,1,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,500,10,2006,WD,Normal,90000,0
19,20,0,66,13695,0,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,0,0,VinylSd,VinylSd,0,0,TA,TA,0,TA,TA,No,GLQ,646,Unf,0,468,1114,0,Ex,Y,1,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,NA,NA,0,0,6,2008,WD,Normal,159000,0
20,20,0,70,7560,0,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,0,0,BrkFace,Plywood,0,0,TA,TA,0,TA,TA,No,LwQ,504,Unf,0,525,1029,0,TA,Y,1,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,0,0,5,2009,COD,Abnorml,139000,0
21,60,0,101,14215,0,0,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,0,0,VinylSd,VinylSd,0,380,Gd,TA,0,Ex,TA,Av,Unf,0,Unf,0,1158,1158,0,Ex,Y,1,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,NA,NA,0,0,11,2006,New,Partial,325300,0
22,45,0,57,7449,0,1,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,0,0,Wd Sdng,Wd Sdng,0,0,TA,TA,0,TA,TA,No,Unf,0,Unf,0,637,637,0,Ex,Y,0,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0,0,NA,GdPrv,0,0,6,2007,WD,Normal,139400,0
23,20,0,75,9742,0,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,0,0,VinylSd,VinylSd,0,281,Gd,TA,0,Gd,TA,No,Unf,0,Unf,0,1777,1777,0,Ex,Y,1,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,NA,NA,0,0,9,2008,WD,Normal,230000,0
24,120,0,44,4224,0,0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,0,0,CemntBd,CmentBd,0,0,TA,TA,0,Gd,TA,No,GLQ,840,Unf,0,200,1040,0,TA,Y,1,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,NA,NA,0,0,6,2007,WD,Normal,129900,0
25,20,0,NA,8246,0,0,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,0,0,Plywood,Plywood,0,0,TA,Gd,0,TA,TA,Mn,Rec,188,ALQ,668,204,1060,0,Ex,Y,1,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,NA,MnPrv,0,0,5,2010,WD,Normal,154000,0
26,20,0,110,14230,0,0,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,0,0,VinylSd,VinylSd,0,640,Gd,TA,0,Gd,TA,No,Unf,0,Unf,0,1566,1566,0,Ex,Y,1,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,NA,NA,0,0,7,2009,WD,Normal,256300,0
27,20,0,60,7200,0,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,0,0,Wd Sdng,Wd Sdng,0,0,TA,TA,0,TA,TA,Mn,BLQ,234,Rec,486,180,900,0,TA,Y,1,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,NA,NA,0,0,5,2010,WD,Normal,134800,0
28,20,0,98,11478,0,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,0,0,VinylSd,VinylSd,0,200,Gd,TA,0,Ex,TA,No,GLQ,1218,Unf,0,486,1704,0,Ex,Y,1,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,NA,NA,0,0,5,2010,WD,Normal,306000,0
29,20,0,47,16321,0,0,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,0,0,MetalSd,MetalSd,0,0,TA,TA,0,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,0,TA,Y,1,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,NA,NA,0,0,12,2006,WD,Normal,207500,0
30,30,0,60,6324,0,0,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,0,0,MetalSd,MetalSd,0,0,TA,TA,1,TA,TA,No,Unf,0,Unf,0,520,520,0,Fa,N,1,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,NA,NA,0,0,5,2008,WD,Normal,68500,0
31,70,0,50,8500,0,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,0,0,BrkFace,BrkFace,0,0,TA,Fa,1,TA,TA,No,Unf,0,Unf,0,649,649,0,TA,N,1,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,NA,MnPrv,0,0,7,2008,WD,Normal,40000,0
32,20,0,NA,8544,0,0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,0,0,HdBoard,HdBoard,0,0,TA,TA,0,TA,TA,No,Unf,0,Unf,0,1228,1228,0,Gd,Y,1,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,NA,MnPrv,0,0,6,2008,WD,Normal,149350,0
33,20,0,85,11049,0,0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,0,0,VinylSd,VinylSd,0,0,Gd,TA,0,Ex,TA,Av,Unf,0,Unf,0,1234,1234,0,Ex,Y,1,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,NA,NA,0,0,1,2008,WD,Normal,179900,0
34,20,0,70,10552,0,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,0,0,BrkFace,BrkFace,0,0,TA,TA,0,TA,TA,No,Rec,1018,Unf,0,380,1398,0,Gd,Y,1,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,NA,NA,0,0,4,2010,WD,Normal,165500,0
35,120,0,60,7313,0,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,0,0,MetalSd,MetalSd,0,246,Ex,TA,0,Ex,TA,No,GLQ,1153,Unf,0,408,1561,0,Ex,Y,1,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,NA,NA,0,0,8,2007,WD,Normal,277500,0
36,60,0,108,13418,0,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,0,0,VinylSd,VinylSd,0,132,Gd,TA,0,Ex,TA,Av,Unf,0,Unf,0,1117,1117,0,Ex,Y,1,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,NA,NA,0,0,9,2006,WD,Normal,309000,0
37,20,0,112,10859,0,0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,0,0,VinylSd,VinylSd,0,0,TA,TA,0,Gd,TA,No,Unf,0,Unf,0,1097,1097,0,Ex,Y,1,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1995,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,NA,NA,0,0,6,2009,WD,Normal,145000,0
38,20,0,74,8532,0,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,0,0,Wd Sdng,Wd Sdng,0,650,TA,TA,0,TA,TA,No,Rec,1213,Unf,0,84,1297,0,Gd,Y,1,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,0,10,2009,WD,Normal,153000,0
39,20,0,68,7922,0,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,0,0,VinylSd,VinylSd,0,0,TA,Gd,0,TA,TA,No,GLQ,731,Unf,0,326,1057,0,TA,Y,1,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,NA,NA,0,0,1,2010,WD,Abnorml,109000,0
40,90,0,65,6040,0,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,0,0,AsbShng,Plywood,0,0,TA,TA,0,NA,NA,NA,NA,0,NA,0,0,0,0,TA,N,0,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,0,0,6,2008,WD,AdjLand,82000,0
41,20,0,84,8658,0,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,0,0,Wd Sdng,Wd Sdng,0,101,TA,TA,0,TA,TA,No,Rec,643,Unf,0,445,1088,0,Ex,Y,1,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,NA,GdWo,0,0,12,2006,WD,Abnorml,160000,0
