,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,NoRidge,NridgHt,VinylSd,VinylSd.1,Stone.2,PConc
0,7,2003,2003,196,4,4,1,6,706,856,5,856,854,1710,2,4,8,0,0,5,2,2,548,0,61,0,0,1,1,0,1
1,6,1976,1976,0,3,4,4,5,978,1262,5,1262,0,1262,2,3,6,1,3,5,2,2,460,298,0,0,0,0,0,0,0
2,7,2001,2002,162,4,4,2,6,486,920,5,920,866,1786,2,4,6,1,3,5,2,2,608,0,42,0,0,1,1,0,1
3,7,1915,1970,0,3,3,1,5,216,756,4,961,756,1717,1,4,7,1,4,1,1,3,642,0,35,0,0,0,0,0,0
4,8,2000,2000,350,4,4,3,6,655,1145,5,1145,1053,2198,2,4,9,1,3,5,2,3,836,192,84,1,0,1,1,0,1
5,5,1993,1995,0,3,4,1,6,732,796,5,796,566,1362,1,3,5,0,0,5,1,2,480,40,30,0,0,1,1,0,0
6,8,2004,2005,186,4,5,3,6,1369,1686,5,1694,0,1694,2,4,7,1,4,5,2,2,636,255,57,0,0,1,1,1,1
7,7,1973,1973,240,3,4,2,5,859,1107,5,1107,983,2090,2,3,7,2,3,5,2,2,484,235,204,0,0,0,0,1,0
8,7,1931,1950,0,3,3,1,1,0,952,4,1022,752,1774,2,3,8,2,3,1,1,2,468,90,0,0,0,0,0,0,0
9,5,1939,1950,0,3,3,1,6,851,991,5,1077,0,1077,1,3,5,2,3,5,2,1,205,0,4,0,0,0,0,0,0
10,5,1965,1965,0,3,3,1,3,906,1040,5,1040,0,1040,1,3,5,0,0,1,1,1,384,0,0,0,0,0,0,0,0
11,9,2005,2006,286,5,5,1,6,998,1175,5,1182,1142,2324,3,5,11,2,4,3,3,3,736,147,21,0,1,0,0,1,1
12,5,1962,1962,0,3,3,1,5,737,912,3,912,0,912,1,3,4,0,0,1,1,1,352,140,0,0,0,0,0,0,0
13,7,2006,2007,306,4,4,3,1,0,1494,5,1494,0,1494,2,4,7,1,4,5,2,3,840,160,33,0,0,1,1,1,1
14,6,1960,1960,212,3,3,1,4,733,1253,3,1253,0,1253,1,3,5,1,2,5,2,1,352,0,213,0,0,0,0,0,0
15,7,1929,2001,0,3,3,1,1,0,832,5,854,0,854,1,3,5,0,0,1,1,2,576,48,112,0,0,0,0,0,0
16,6,1970,1970,180,3,3,1,5,578,1004,5,1004,0,1004,1,3,5,1,3,5,3,2,480,0,0,0,0,0,0,0,0
17,4,1967,1967,0,3,0,0,0,0,0,3,1296,0,1296,2,3,6,0,0,2,1,2,516,0,0,0,0,0,0,0,0
18,5,2004,2004,0,3,3,1,6,646,1114,5,1114,0,1114,1,4,6,0,0,1,1,2,576,0,102,0,0,1,1,0,1
19,5,1958,1965,0,3,3,1,2,504,1029,3,1339,0,1339,1,3,6,0,0,5,1,1,294,0,0,0,0,0,0,0,0
20,8,2005,2006,380,4,5,3,1,0,1158,5,1158,1218,2376,3,4,9,1,4,3,2,3,853,240,154,0,1,1,1,0,1
21,7,1930,1950,0,3,3,1,1,0,637,5,1108,0,1108,1,4,6,1,4,5,1,1,280,0,0,0,0,0,0,0,1
22,8,2002,2002,281,4,4,1,1,0,1777,5,1795,0,1795,2,4,7,1,4,5,2,2,534,171,159,0,0,1,1,0,1
23,5,1976,1976,0,3,4,1,6,840,1040,3,1060,0,1060,1,3,6,1,3,5,1,2,572,100,110,0,0,0,0,0,1
24,5,1968,2001,0,3,3,2,3,188,1060,5,1060,0,1060,1,4,6,1,3,5,1,1,270,406,90,0,0,0,0,0,0
25,8,2007,2007,640,4,4,1,1,0,1566,5,1600,0,1600,2,4,7,1,4,5,2,3,890,0,56,0,1,1,1,1,1
26,5,1951,2000,0,3,3,2,4,234,900,3,900,0,900,1,4,5,0,0,1,1,2,576,222,32,0,0,0,0,0,0
27,8,2007,2008,200,4,5,1,6,1218,1704,5,1704,0,1704,2,4,7,1,4,5,2,3,772,0,50,0,1,1,1,1,1
28,5,1957,1997,0,3,3,4,4,1277,1484,3,1600,0,1600,1,3,6,2,4,5,2,1,319,288,258,0,0,0,0,0,0
29,4,1927,1950,0,3,3,1,1,0,520,2,520,0,520,1,2,4,0,0,1,1,1,240,49,0,0,0,0,0,0,0
30,4,1920,1950,0,3,3,1,1,0,649,3,649,668,1317,1,3,6,0,0,1,1,1,250,0,54,0,0,0,0,0,0
31,5,1966,2006,0,3,3,1,1,0,1228,4,1228,0,1228,1,4,6,0,0,5,1,1,271,0,65,0,0,0,0,0,0
32,8,2007,2007,0,4,5,3,1,0,1234,5,1234,0,1234,2,4,7,0,0,5,2,2,484,0,30,0,0,1,1,0,1
33,5,1959,1959,0,3,3,1,3,1018,1398,4,1700,0,1700,1,4,6,1,4,5,2,2,447,0,38,0,0,0,0,0,0
34,9,2005,2005,246,5,5,1,6,1153,1561,5,1561,0,1561,2,5,6,1,4,5,3,2,556,203,47,0,1,0,0,0,1
35,8,2004,2005,132,4,5,3,1,0,1117,5,1132,1320,2452,3,4,9,1,4,3,3,3,691,113,32,0,1,1,1,1,1
36,5,1994,1995,0,3,4,1,1,0,1097,5,1097,0,1097,1,3,6,0,0,5,1,2,672,392,64,0,0,1,1,0,1
37,5,1954,1990,650,3,3,1,3,1213,1297,4,1297,0,1297,1,3,5,1,3,5,3,2,498,0,0,0,0,0,0,0,0
38,5,1953,2007,0,3,3,1,6,731,1057,3,1057,0,1057,1,4,5,0,0,1,1,1,246,0,52,0,0,1,1,0,0
39,4,1955,1955,0,3,0,0,0,0,0,3,1152,0,1152,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,6,1965,1965,101,3,3,1,3,643,1088,5,1324,0,1324,2,3,6,1,3,5,2,2,440,0,138,0,0,0,0,0,0
41,5,1959,1959,0,3,3,4,4,967,1350,4,1328,0,1328,1,3,5,2,4,5,2,1,308,0,104,0,0,1,1,0,0
42,5,1983,1983,0,3,4,3,5,747,840,4,884,0,884,1,4,5,0,0,5,2,2,504,240,0,0,0,0,0,0,0
43,5,1975,1980,0,3,4,3,2,280,938,3,938,0,938,1,3,5,0,0,1,1,1,308,145,0,0,0,1,1,0,0
44,5,1959,1959,0,3,3,1,5,179,1150,5,1150,0,1150,1,3,6,0,0,5,2,1,300,0,0,0,0,0,0,0,0
45,9,2005,2005,412,5,5,1,6,456,1752,5,1752,0,1752,2,5,6,1,4,5,2,2,576,196,82,0,1,0,0,0,1
46,7,2003,2003,0,4,5,1,6,1351,1434,5,1518,631,2149,1,4,6,1,5,5,2,2,670,168,43,0,0,1,1,0,1
47,8,2006,2006,0,4,4,3,6,24,1656,5,1656,0,1656,2,4,7,0,0,5,2,3,826,0,146,0,0,1,1,0,1
48,4,1920,2008,0,3,3,1,1,0,736,4,736,716,1452,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5,1966,1966,0,3,3,1,4,763,955,5,955,0,955,1,3,6,0,0,5,1,1,386,0,0,0,0,0,0,0,0
50,6,1997,1997,0,3,4,3,6,182,794,4,794,676,1470,2,3,6,0,0,5,3,2,388,0,75,0,0,1,1,0,1
